Gene	WT-1_Read_Count	WT-2_Read_Count	Toluene-1_Read_Count	Toluene-2_Read_Count
LOC100248466	825	1012	976	1123
LOC100248468	127	153	165	115
LOC100248517	4950	6095	3503	5624
LOC100248529	1451	1658	1257	2011
LOC100248532	1189	1368	802	1330
LOC100248563	610	727	453	669
LOC100248579	1117	1398	518	834
LOC100248684	751	1014	824	1052
LOC100248686	543	602	385	717
LOC100248694	593	646	551	717
LOC100248708	303	450	220	314
LOC100248722	98	154	100	130
LOC100248725	366	384	316	441
LOC100248736	410	603	318	540
LOC100248745	1113	1428	791	1144
LOC100248758	774	888	665	980
LOC100248771	11	17	14	10
LOC100248777	1377	1708	1182	1570
LOC100248790	5245	6437	4552	6368
LOC100248801	73	105	70	71
LOC100248819	41	29	29	42
LOC100248830	445	533	300	510
LOC100248862	168	258	149	219
LOC100248864	168	224	127	268
LOC100248877	414	533	475	580
LOC100248919	1039	1269	616	1014
LOC100248920	16	19	31	17
LOC100248921	1237	1498	845	1388
LOC100248926	137	167	116	150
LOC100248964	1524	1882	1340	2011
LOC100248973	647	801	552	891
LOC100248990	919	1007	667	1053
LOC100249019	5	12	11	27
LOC100249090	442	656	453	647
LOC100249091	1288	1606	1464	1840
LOC100249102	406	508	304	468
LOC100249111	283	373	258	403
LOC100249117	1872	2804	2334	3599
LOC100249121	904	1174	1175	1232
LOC100249126	193	233	148	224
LOC100249133	766	910	669	873
LOC100249158	1669	1856	1029	1492
LOC100249169	1440	1674	1418	2253
LOC100249214	854	1075	635	969
LOC100249255	174	257	139	204
LOC100249259	66	68	76	120
LOC100249277	1189	1726	1076	1715
LOC100249280	2702	2935	2040	3315
LOC100249303	621	749	461	639
LOC100249307	373	497	296	443
LOC100249392	181	200	141	221
LOC100249401	706	730	351	660
LOC100249410	902	937	437	737
LOC100249424	929	1099	1269	1690
LOC100249429	5237	6268	4179	6499
LOC100249437	6722	8127	5208	8424
LOC100249488	1520	1723	1276	1899
LOC100249540	810	1000	669	827
LOC100249552	0	0	1	12
LOC100249579	785	1016	642	735
LOC100249614	984	1424	1063	1691
LOC100249615	252	361	409	438
LOC100249625	720	765	628	905
LOC100249628	1232	1434	1044	1540
LOC100249633	1674	1890	1088	1535
LOC100249651	465	573	510	592
LOC100249654	1082	1461	922	1455
LOC100249662	860	940	780	1190
LOC100249678	2023	2562	2028	2580
LOC100249687	165	207	169	280
LOC100249692	376	542	374	459
LOC100249754	139	225	133	213
LOC100249757	705	845	614	761
LOC100249768	1897	2342	1611	2382
LOC100249769	34	67	23	61
LOC100249784	579	756	507	784
LOC100249788	148	224	173	146
LOC100249812	0	2	0	0
LOC100249814	15	15	5	9
LOC100249870	1864	2161	2374	2115
LOC100249902	414	424	301	381
LOC100249925	11	5	9	4
LOC100249938	207	282	165	304
LOC100249945	1527	1604	859	1562
LOC100249966	2183	2647	1071	1538
LOC100249973	1027	1307	1270	1519
LOC100250039	299	391	299	330
LOC100250049	2620	3330	1698	2574
LOC100250061	2674	3424	3256	4000
LOC100250114	3	4	1	1
LOC100250118	35	37	28	48
LOC100250122	623	774	369	615
LOC100250183	7064	8276	7717	9688
LOC100250198	210	214	212	350
LOC100250203	30	40	32	60
LOC100250245	995	1250	1021	1381
LOC100250270	644	753	386	722
LOC100250295	325	347	204	330
LOC100250306	3	3	8	11
LOC100250321	289	315	201	320
LOC100250336	464	474	500	554
LOC100250337	750	865	383	645
LOC100250341	688	927	640	904
LOC100250355	865	1103	639	1036
LOC100250366	339	365	196	301
LOC100250368	1027	1231	552	801
LOC100250381	239	335	273	381
LOC100250388	130	148	124	109
LOC100250389	781	865	391	610
LOC100250397	930	1127	545	883
LOC100250407	360	395	269	372
LOC100250411	424	482	376	542
LOC100250429	386	515	271	436
LOC100250441	323	447	161	394
LOC100250452	69	98	61	92
LOC100250471	729	836	415	715
LOC100250491	45	51	66	81
LOC100250492	702	745	473	711
LOC100250498	217	266	146	198
LOC100250501	286	389	300	338
LOC100250511	18488	20171	8707	13276
LOC100250520	1116	1265	759	1269
LOC100250563	928	1016	742	998
LOC100250619	240	273	230	273
LOC100250628	423	473	321	649
LOC100250634	1957	2230	1274	2241
LOC100250638	1626	1952	1744	2144
LOC100250662	1182	1303	533	913
LOC100250666	79	109	144	114
LOC100250693	31	36	51	52
LOC100250701	5754	7081	5148	6716
LOC100250725	6459	7861	2851	4577
LOC100250737	3118	3690	2293	3219
LOC100250764	340	361	178	281
LOC100250805	16	13	41	37
LOC100250825	6063	7586	3503	6001
LOC100250839	821	991	606	925
LOC100250847	985	1305	595	1141
LOC100250873	2476	2943	3176	3307
LOC100250896	9009	9954	4887	8000
LOC100250898	4010	4839	1719	2958
LOC100250908	1	0	0	0
LOC100250929	487	542	539	675
LOC100250946	256	290	183	303
LOC100250963	325	339	167	328
LOC100250966	191	292	282	342
LOC100250971	861	1024	274	436
LOC100250977	813	1144	386	747
LOC100251006	1865	2049	1414	2394
LOC100251026	578	628	553	717
LOC100251052	53	69	20	39
LOC100251059	28	31	7	40
LOC100251070	868	919	504	629
LOC100251093	523	665	405	566
LOC100251108	596	692	498	713
LOC100251111	3404	4098	2783	3684
LOC100251163	155	192	217	273
LOC100251195	1011	1109	603	900
LOC100251197	518	678	360	650
LOC100251202	290	328	190	229
LOC100251205	128	183	87	213
LOC100251243	1774	2149	1535	2337
LOC100251275	1107	1447	924	1189
LOC100251277	392	452	280	422
LOC100251286	613	707	386	518
LOC100251309	40	41	4	17
LOC100251317	1175	1404	342	643
LOC100251324	1934	2301	1545	2223
LOC100251356	379	507	358	531
LOC100251379	1516	1850	1154	1908
LOC100251392	170	221	172	246
LOC100251405	1091	1237	864	1295
LOC100251410	64	110	95	98
LOC100251414	144	163	173	245
LOC100251454	1486	1837	479	804
LOC100251481	1236	1188	681	1135
LOC100251493	274	332	162	286
LOC100251495	2921	3570	1861	3126
LOC100251529	42	90	42	44
LOC100251534	1228	1435	844	1387
LOC100251535	134	114	103	194
LOC100251571	176	235	193	259
LOC100251581	102	152	85	132
LOC100251616	602	789	771	1364
LOC100251671	422	550	466	711
LOC100251720	596	826	521	735
LOC100251727	163	232	144	220
LOC100251732	930	1066	584	887
LOC100251740	35	39	12	21
LOC100251769	279	355	223	295
LOC100251802	351	469	407	505
LOC100251803	827	1159	643	747
LOC100251821	547	703	402	772
LOC100251825	1509	1679	980	1626
LOC100251829	778	1131	789	1086
LOC100251836	8999	11280	3404	3704
LOC100251842	574	611	293	520
LOC100251847	469	550	422	657
LOC100251867	2715	3254	2323	4100
LOC100251878	1	1	0	2
LOC100251885	1651	1994	2687	3267
LOC100251986	438	566	324	518
LOC100251987	285	395	330	449
LOC100252019	368	447	267	414
LOC100252042	1617	1962	1048	1723
LOC100252053	28	14	4	12
LOC100252061	158	180	154	204
LOC100252095	3310	4024	2261	3574
LOC100252099	5621	6418	4491	5781
LOC100252109	632	690	671	873
LOC100252149	1696	1939	1080	1481
LOC100252169	146	172	274	281
LOC100252199	2272	3222	2510	4099
LOC100252244	1351	1644	1099	1387
LOC100252293	276	355	273	291
LOC100252299	1825	2141	1749	2400
LOC100252326	1384	1752	1529	2290
LOC100252335	2018	2193	2104	2586
LOC100252372	382	510	346	564
LOC100252379	1349	1595	1181	1572
LOC100252422	1743	2163	950	1762
LOC100252435	95	104	131	197
LOC100252456	5759	6868	2216	3818
LOC100252469	402	593	445	634
LOC100252486	956	1182	1029	1528
LOC100252490	551	682	529	688
LOC100252504	800	1038	981	1334
LOC100252510	340	443	405	580
LOC100252515	1362	1660	632	1145
LOC100252519	7	9	25	37
LOC100252520	568	608	481	668
LOC100252548	1269	1325	715	1262
LOC100252568	1019	1296	758	902
LOC100252573	0	2	0	0
LOC100252575	947	1071	533	1020
LOC100252595	247	291	641	641
LOC100252603	92	137	140	163
LOC100252607	512	690	538	954
LOC100252611	2663	2917	1736	2493
LOC100252614	605	789	417	669
LOC100252635	450	590	251	379
LOC100252645	460	539	146	361
LOC100252665	80	142	84	84
LOC100252689	56	85	13	33
LOC100252699	2725	2990	1631	2464
LOC100252829	8956	11436	10967	13714
LOC100252831	231	259	125	221
LOC100252851	923	1247	1058	1197
LOC100252857	1394	1560	1197	1526
LOC100252921	558	749	479	855
LOC100252925	5142	6633	6219	7179
LOC100252988	2081	2503	1326	1852
LOC100252995	140	219	168	248
LOC100253010	747	979	1081	1280
LOC100253030	1517	1895	1777	1943
LOC100253052	2887	3782	2228	3344
LOC100253058	435	475	321	473
LOC100253074	300	396	266	458
LOC100253086	1271	1552	919	1329
LOC100253102	528	752	519	556
LOC100253107	719	907	539	850
LOC100253129	238	294	189	287
LOC100253158	6809	7911	2401	3878
LOC100253167	2011	2429	1742	2280
LOC100253176	1592	1966	2144	2559
LOC100253200	2087	2310	1228	2116
LOC100253220	418	451	347	522
LOC100253225	481	615	349	570
LOC100253247	2183	2329	1842	2722
LOC100253283	158	238	110	136
LOC100253317	3268	3838	723	1053
LOC100253324	209	195	243	320
LOC100253345	316	466	398	583
LOC100253367	1617	1871	1190	1805
LOC100253426	67	114	126	186
LOC100253429	744	865	674	1019
LOC100253458	464	535	158	358
LOC100253495	493	577	261	424
LOC100253500	331	336	319	468
LOC100253508	560	758	620	777
LOC100253515	3594	4695	2926	3617
LOC100253517	371	500	406	660
LOC100253562	10	7	6	10
LOC100253570	72	113	62	95
LOC100253600	177	193	43	142
LOC100253612	231	292	200	302
LOC100253622	176	214	100	150
LOC100253654	793	982	472	773
LOC100253683	1881	2442	1816	2698
LOC100253686	378	447	259	380
LOC100253688	1955	2464	7466	10266
LOC100253689	1429	1780	967	1676
LOC100253701	7090	8713	5492	6475
LOC100253704	194	300	341	547
LOC100253711	1640	1986	1389	2033
LOC100253726	1574	1911	870	1431
LOC100253761	442	508	371	596
LOC100253805	1965	2334	1167	1823
LOC100253815	3	19	7	9
LOC100253844	399	538	321	465
LOC100253895	2150	2704	2308	3101
LOC100253897	547	701	466	622
LOC100253922	3110	3854	2240	2499
LOC100253926	183	236	187	258
LOC100253933	210	296	194	252
LOC100253936	352	441	310	384
LOC100253949	842	1091	843	974
LOC100253998	880	1078	709	846
LOC100254023	196	253	190	323
LOC100254031	325	332	325	534
LOC100254034	202	247	145	172
LOC100254039	604	784	838	1439
LOC100254067	1003	1120	856	1136
LOC100254070	912	1073	666	1163
LOC100254085	646	826	450	623
LOC100254100	808	1019	455	643
LOC100254101	209	296	65	96
LOC100254138	31038	37248	33651	42822
LOC100254143	741	878	274	416
LOC100254144	218	252	187	233
LOC100254166	243	317	210	309
LOC100254188	2172	2762	2123	3453
LOC100254195	192	227	157	283
LOC100254201	619	717	428	612
LOC100254220	2062	2768	2249	2813
LOC100254226	0	4	0	0
LOC100254236	2040	2821	1386	2125
LOC100254261	611	695	367	601
LOC100254265	975	1238	691	1148
LOC100254267	431	607	548	729
LOC100254279	7	6	22	31
LOC100254292	248	311	251	329
LOC100254304	25	27	3	17
LOC100254323	227	290	203	345
LOC100254328	430	547	278	386
LOC100254343	921	1062	642	857
LOC100254350	936	1090	539	953
LOC100254376	5195	6725	5868	7478
LOC100254382	80	82	45	66
LOC100254385	55	34	71	93
LOC100254398	630	735	598	779
LOC100254399	704	852	1001	1101
LOC100254432	1034	1346	911	1361
LOC100254453	1051	1334	1331	1820
LOC100254457	400	490	390	476
LOC100254466	443	490	327	597
LOC100254493	57	73	84	131
LOC100254500	596	704	463	706
LOC100254568	450	548	333	600
LOC100254579	757	855	427	729
LOC100254600	43	38	16	41
LOC100254604	890	941	461	800
LOC100254626	1142	1258	871	1403
LOC100254630	414	591	248	563
LOC100254754	3449	4225	1863	3573
LOC100254775	1427	1584	881	1501
LOC100254777	78	115	32	51
LOC100254781	1238	1595	718	1131
LOC100254787	767	990	894	860
LOC100254791	6776	8304	3853	6754
LOC100254832	1335	1635	934	1465
LOC100254868	638	693	373	667
LOC100254883	1486	1785	1605	2027
LOC100254904	50	61	29	62
LOC100254915	452	566	395	520
LOC100254930	528	576	197	502
LOC100254950	1002	1252	2315	2396
LOC100254990	70	83	38	70
LOC100255005	213	234	205	290
LOC100255011	0	0	0	0
LOC100255014	150	173	143	206
LOC100255026	12851	16466	22005	23596
LOC100255056	286	383	164	303
LOC100255091	428	493	562	715
LOC100255092	558	712	465	643
LOC100255189	3081	3857	3131	3872
LOC100255222	925	906	533	868
LOC100255234	263	318	233	263
LOC100255252	1066	1186	1278	1710
LOC100255260	918	1024	626	1057
LOC100255261	307	494	224	438
LOC100255308	221	273	108	187
LOC100255327	117	152	264	362
LOC100255335	97	124	104	130
LOC100255345	6	8	1	9
LOC100255368	2498	3166	2636	3040
LOC100255417	590	740	423	661
LOC100255425	2162	2644	1070	1842
LOC100255472	786	977	438	794
LOC100255482	463	521	354	461
LOC100255493	1893	2077	1112	1863
LOC100255506	1358	1554	326	506
LOC100255526	3042	3410	2304	3931
LOC100255619	3750	4275	1956	3260
LOC100255621	1797	2126	1918	2162
LOC100255624	0	0	1	6
LOC100255632	322	439	199	261
LOC100255647	74600	85271	55840	72623
LOC100255659	39	53	36	70
LOC100255686	5	5	7	13
LOC100255693	333	415	397	585
LOC100255768	217	348	204	327
LOC100255781	68	89	65	60
LOC100255804	911	1139	650	1124
LOC100255814	3450	4171	7059	7689
LOC100255834	728	820	857	1211
LOC100255847	46	40	13	23
LOC100255895	2841	3601	1494	2390
LOC100255898	72	75	14	50
LOC100255917	79	76	69	105
LOC100255956	153	185	244	309
LOC100255994	509	699	649	1100
LOC100256014	437	491	452	702
LOC100256026	674	849	611	737
LOC100256039	113	122	68	86
LOC100256054	405	510	341	450
LOC100256057	2	0	1	0
LOC100256061	503	561	513	765
LOC100256089	5	2	4	4
LOC100256091	268	228	153	223
LOC100256135	754	926	349	704
LOC100256148	374	372	204	275
LOC100256177	864	1127	879	1148
LOC100256183	118	138	210	293
LOC100256257	2673	2941	712	1621
LOC100256266	149	153	147	168
LOC100256288	1197	1461	1017	1408
LOC100256296	1068	1292	742	1124
LOC100256319	1171	1395	1020	1651
LOC100256323	2	0	0	2
LOC100256337	470	628	390	577
LOC100256340	1287	1417	1021	1712
LOC100256355	47	52	42	36
LOC100256382	55	99	50	78
LOC100256415	2450	2890	2713	4215
LOC100256432	4370	5231	3256	4841
LOC100256545	355	499	252	520
LOC100256549	707	912	567	737
LOC100256552	329	483	226	369
LOC100256555	834	1036	628	856
LOC100256571	1353	1612	758	1288
LOC100256590	339	426	258	408
LOC100256631	238	298	191	365
LOC100256632	18904	22211	2667	4261
LOC100256664	1124	1310	639	1249
LOC100256705	1715	1915	1167	2041
LOC100256710	729	803	521	909
LOC100256716	641	809	419	704
LOC100256734	43	42	40	78
LOC100256735	7	18	0	0
LOC100256739	430	634	338	427
LOC100256750	1	3	1	0
LOC100256776	2942	3329	2322	3430
LOC100256793	418	530	243	511
LOC100256808	130	170	83	137
LOC100256813	948	1058	551	1109
LOC100256852	99	144	121	159
LOC100256889	197	274	221	308
LOC100256894	124	140	113	172
LOC100256914	1215	1524	744	1104
LOC100256920	70	75	44	67
LOC100256927	125	175	96	157
LOC100256935	3420	4284	3053	3160
LOC100256972	2118	2326	1546	2415
LOC100257012	94	140	73	122
LOC100257013	15	20	7	22
LOC100257038	181	207	165	222
LOC100257081	7	15	10	4
LOC100257085	626	694	369	695
LOC100257088	405	481	263	392
LOC100257092	374	500	225	397
LOC100257111	1643	1766	636	1250
LOC100257133	4	12	13	14
LOC100257148	1378	1671	1632	2101
LOC100257153	612	728	407	710
LOC100257163	806	838	772	1366
LOC100257193	272	356	199	325
LOC100257207	1689	2114	1353	2172
LOC100257242	0	0	0	1
LOC100257258	2387	3183	2488	3735
LOC100257276	191	241	224	259
LOC100257282	562	701	367	564
LOC100257283	1139	1453	991	1572
LOC100257353	1690	2149	1465	1825
LOC100257368	567	623	196	464
LOC100257371	9702	11914	28256	38745
LOC100257375	1974	2334	1105	1496
LOC100257378	31	59	57	58
LOC100257380	2094	2402	2561	3100
LOC100257420	10	5	2	9
LOC100257460	974	1198	818	1183
LOC100257528	981	1224	1014	1537
LOC100257580	167	195	139	253
LOC100257584	1852	2166	1513	2615
LOC100257585	383	460	325	507
LOC100257593	1940	2294	1384	1722
LOC100257594	604	742	369	590
LOC100257610	5416	6986	4166	7257
LOC100257653	60	105	92	107
LOC100257657	49	86	9	33
LOC100257679	190	184	129	194
LOC100257685	279	357	197	268
LOC100257704	4821	5911	4525	6241
LOC100257715	1366	1627	1050	1809
LOC100257753	943	1084	544	750
LOC100257757	151	214	173	202
LOC100257758	294	394	326	461
LOC100257762	3709	4095	2247	4167
LOC100257790	2134	2628	2212	3387
LOC100257805	147	169	176	281
LOC100257827	228	270	184	316
LOC100257865	1096	1373	546	757
LOC100257868	7	1	6	15
LOC100257891	226	236	125	173
LOC100257917	2020	2478	1691	2540
LOC100257920	338	446	338	428
LOC100257955	445	514	454	586
LOC100257983	25	18	27	37
LOC100257992	1517	1876	729	1242
LOC100258046	75	78	74	94
LOC100258048	2	2	5	1
LOC100258101	1243	1431	866	1324
LOC100258105	246	304	186	267
LOC100258108	150	203	76	124
LOC100258125	307	352	204	328
LOC100258129	30	34	6	28
LOC100258138	2047	2374	1413	1870
LOC100258185	747	953	644	862
LOC100258197	1	1	1	0
LOC100258222	809	950	710	870
LOC100258242	121	136	227	215
LOC100258243	517	675	365	605
LOC100258291	13	8	10	11
LOC100258310	2375	2978	1525	2123
LOC100258332	19	16	28	25
LOC100258344	1	9	0	5
LOC100258347	7682	9781	9034	9329
LOC100258385	37	42	20	38
LOC100258386	3453	4690	4712	5354
LOC100258458	9	11	12	15
LOC100258473	195	176	160	173
LOC100258490	56	69	57	52
LOC100258505	1008	1126	906	1314
LOC100258511	955	1142	283	486
LOC100258513	1433	1533	220	444
LOC100258540	756	825	518	820
LOC100258541	139	162	117	168
LOC100258568	570	736	455	741
LOC100258618	1385	1694	1485	1683
LOC100258632	987	1181	640	1112
LOC100258663	27	15	24	25
LOC100258667	316	476	255	449
LOC100258668	407	466	421	602
LOC100258677	157	175	96	151
LOC100258710	34	46	28	34
LOC100258716	265	344	375	352
LOC100258727	1656	1978	1873	2720
LOC100258741	2008	2703	1430	2475
LOC100258764	943	1084	636	1124
LOC100258787	161	207	147	218
LOC100258818	1420	1791	988	1675
LOC100258835	503	633	434	600
LOC100258836	180	254	121	267
LOC100258865	4419	5220	2963	5086
LOC100258878	417	420	210	418
LOC100258922	529	698	587	778
LOC100258928	259	334	221	325
LOC100258952	70	74	69	103
LOC100259023	228	359	201	257
LOC100259032	40	34	78	77
LOC100259036	1315	1579	1141	1612
LOC100259067	1145	1488	775	1228
LOC100259074	1063	1207	600	1016
LOC100259096	454	542	240	387
LOC100259137	31	29	19	27
LOC100259158	637	667	291	610
LOC100259167	1992	2203	1818	2828
LOC100259175	4496	5545	4953	6784
LOC100259176	889	1119	1059	1572
LOC100259179	434	568	356	554
LOC100259195	2073	2163	1391	2076
LOC100259206	486	608	297	561
LOC100259210	796	931	663	1080
LOC100259256	749	829	577	803
LOC100259260	438	587	597	706
LOC100259276	130	194	174	278
LOC100259280	262	359	154	269
LOC100259283	641	708	418	816
LOC100259293	448	621	287	568
LOC100259307	2628	3466	942	1673
LOC100259317	7	12	29	20
LOC100259318	0	0	1	2
LOC100259328	1	1	8	2
LOC100259361	466	578	428	493
LOC100259387	1154	1282	1101	1218
LOC100259390	415	492	353	553
LOC100259413	6	6	19	11
LOC100259445	2468	2988	2036	2363
LOC100259459	1922	2318	1479	1920
LOC100259477	3239	3642	2453	3384
LOC100259495	1418	1756	1369	1516
LOC100259500	2834	3543	2950	4047
LOC100259524	351	500	398	533
LOC100259539	54	51	27	37
LOC100259546	210	181	135	147
LOC100259551	88174	108183	88993	141283
LOC100259554	251	307	233	309
LOC100259602	371	443	408	612
LOC100259632	501	512	304	370
LOC100259633	427	522	291	494
LOC100259643	687	919	282	708
LOC100259662	1045	1281	808	1385
LOC100259693	344	443	192	243
LOC100259729	874	890	618	919
LOC100259730	5	9	1	7
LOC100259734	1558	1916	1345	2311
LOC100259748	12570	14432	8990	10589
LOC100259753	771	836	396	669
LOC100259756	873	1009	498	589
LOC100259757	1971	2390	1790	2308
LOC100259768	12	23	25	27
LOC100259801	428	502	292	492
LOC100259805	1	2	6	7
LOC100259816	241	388	201	379
LOC100259830	1744	2394	2691	3028
LOC100259890	159	189	156	156
LOC100259893	1287	1646	876	1087
LOC100259903	848	995	737	1063
LOC100259904	1284	1602	658	1149
LOC100259975	10310	11877	9693	10200
LOC100260049	2800	3462	2147	3048
LOC100260057	630	716	540	856
LOC100260063	2120	2822	1863	2990
LOC100260077	350	477	242	314
LOC100260090	11	13	13	24
LOC100260107	729	914	563	886
LOC100260122	17	25	15	23
LOC100260130	6699	8564	6752	8801
LOC100260156	1027	1331	1910	2397
LOC100260162	149	175	88	158
LOC100260245	1787	2137	1400	2196
LOC100260255	202	229	129	219
LOC100260262	272	312	400	411
LOC100260296	296	341	160	299
LOC100260303	3280	4202	2371	3987
LOC100260315	318	393	198	352
LOC100260318	19	50	35	53
LOC100260348	1477	1828	1080	2583
LOC100260354	1453	1730	1054	1413
LOC100260381	555	705	329	429
LOC100260441	108	137	94	120
LOC100260445	1933	2526	3187	3651
LOC100260455	641	780	561	713
LOC100260479	242	302	196	407
LOC100260484	13	34	7	41
LOC100260500	167	188	149	187
LOC100260520	103	154	95	134
LOC100260602	209	242	178	218
LOC100260611	1347	1698	559	730
LOC100260651	0	1	0	0
LOC100260652	13	21	6	16
LOC100260653	1621	1804	1037	1931
LOC100260655	8398	10272	5696	7666
LOC100260663	40	51	56	32
LOC100260666	191	271	290	336
LOC100260676	739	945	730	1017
LOC100260677	421	484	353	454
LOC100260680	4571	6164	3332	3570
LOC100260682	476	585	441	675
LOC100260706	401	476	214	243
LOC100260707	243	247	326	347
LOC100260713	2843	3492	2293	3227
LOC100260732	63	85	93	150
LOC100260735	312	351	295	407
LOC100260761	191	251	238	239
LOC100260795	565	730	894	951
LOC100260807	323	404	239	353
LOC100260813	640	808	841	968
LOC100260824	1049	1213	889	1292
LOC100260826	0	1	0	5
LOC100260829	1271	1373	717	1192
LOC100260839	2442	3166	3249	3548
LOC100260864	317	399	284	432
LOC100260889	2847	3323	1106	2123
LOC100260892	428	501	228	402
LOC100260961	185	230	144	267
LOC100260980	1726	2199	2150	2866
LOC100261021	2410	2771	2971	3340
LOC100261037	10	8	11	42
LOC100261093	10969	12739	15270	17208
LOC100261117	661	775	557	901
LOC100261124	93	118	31	59
LOC100261137	187	241	176	215
LOC100261175	658	783	588	832
LOC100261188	429	542	308	533
LOC100261210	265	407	352	416
LOC100261233	151	196	150	202
LOC100261234	741	1007	625	1129
LOC100261236	2153	2344	1640	2408
LOC100261247	459	561	435	511
LOC100261255	1530	1932	1741	2189
LOC100261262	1391	1637	1105	1534
LOC100261271	383	496	371	630
LOC100261288	169	173	109	165
LOC100261338	319	333	217	326
LOC100261358	675	1005	778	1036
LOC100261384	293	398	150	243
LOC100261408	984	1315	718	1196
LOC100261433	69	65	95	84
LOC100261447	1174	1299	992	1631
LOC100261462	355	433	247	370
LOC100261474	2527	2937	1229	2040
LOC100261519	6	11	19	8
LOC100261557	2134	2555	1354	2041
LOC100261572	229	256	210	323
LOC100261628	393	570	534	668
LOC100261633	1966	2253	1238	1874
LOC100261643	1830	2062	1514	1937
LOC100261676	897	1191	524	766
LOC100261696	188	180	214	243
LOC100261720	0	2	5	2
LOC100261738	563	778	479	766
LOC100261752	89	97	72	125
LOC100261803	405	501	313	554
LOC100261805	476	561	367	515
LOC100261812	365	448	400	592
LOC100261815	2	7	5	2
LOC100261859	43	41	64	81
LOC100261888	247	276	182	334
LOC100261889	1931	2050	1268	2006
LOC100261895	45	67	37	60
LOC100261898	493	642	307	528
LOC100261913	183	226	172	267
LOC100261955	65	77	44	67
LOC100261969	1120	1412	1373	1754
LOC100261983	644	891	584	642
LOC100262007	437	578	370	627
LOC100262028	18	28	23	35
LOC100262033	330	433	253	387
LOC100262036	6	1	0	0
LOC100262043	16687	18991	13167	17985
LOC100262045	27	23	51	62
LOC100262060	130	149	79	92
LOC100262063	804	983	630	901
LOC100262068	416	513	688	829
LOC100262087	2180	2695	2158	3118
LOC100262105	120	107	63	94
LOC100262138	133	177	117	110
LOC100262146	364	386	266	430
LOC100262163	227	265	162	307
LOC100262179	903	1075	862	1273
LOC100262197	725	911	556	892
LOC100262218	2	0	4	2
LOC100262310	645	790	606	669
LOC100262327	650	821	402	679
LOC100262360	1478	1942	1118	1379
LOC100262391	4787	5723	3923	6842
LOC100262398	75	78	52	45
LOC100262433	834	1056	621	961
LOC100262436	820	1026	498	844
LOC100262446	744	814	729	1079
LOC100262456	642	925	498	699
LOC100262484	0	2	0	0
LOC100262488	529	688	482	545
LOC100262520	3193	3752	2671	3479
LOC100262528	3	9	10	9
LOC100262553	533	624	298	370
LOC100262578	152	171	66	116
LOC100262596	622	725	421	826
LOC100262613	470	687	415	495
LOC100262647	501	631	288	430
LOC100262667	441	561	341	500
LOC100262693	337	368	248	458
LOC100262696	415	491	430	607
LOC100262703	1587	2071	1714	2491
LOC100262717	1274	1608	1540	1454
LOC100262718	501	559	577	749
LOC100262748	109	112	115	163
LOC100262763	1498	1782	677	1017
LOC100262770	3089	3236	1571	2715
LOC100262775	2	20	7	9
LOC100262794	732	1021	583	814
LOC100262811	47	49	13	41
LOC100262824	3	8	3	0
LOC100262841	351	456	292	378
LOC100262883	928	1212	607	917
LOC100262888	608	696	288	503
LOC100262914	1	0	7	4
LOC100262929	133	194	44	80
LOC100262938	67	86	74	118
LOC100262940	99	112	139	159
LOC100262954	1827	2366	2845	3967
LOC100262957	806	878	737	938
LOC100263023	886	1011	756	1055
LOC100263026	26	35	20	28
LOC100263041	96	113	95	164
LOC100263047	2531	2896	2963	3336
LOC100263081	1904	2377	1272	1904
LOC100263087	777	901	796	947
LOC100263094	1833	2147	1184	1674
LOC100263147	1244	1548	1237	1343
LOC100263189	641	790	523	746
LOC100263200	220	199	115	230
LOC100263217	1001	1320	578	937
LOC100263243	309	362	234	287
LOC100263244	510	737	554	699
LOC100263284	36	38	34	56
LOC100263319	747	897	486	727
LOC100263329	997	1170	592	935
LOC100263375	871	963	604	861
LOC100263412	554	695	352	658
LOC100263435	1341	1762	1056	1740
LOC100263447	817	1020	761	1138
LOC100263451	22	20	7	20
LOC100263522	728	812	388	613
LOC100263530	1353	1516	931	1570
LOC100263551	555	719	415	574
LOC100263663	286	348	332	408
LOC100263672	504	486	386	491
LOC100263684	3596	4176	2496	4038
LOC100263686	440	563	541	647
LOC100263690	549	711	538	695
LOC100263702	751	902	451	801
LOC100263731	2	0	1	1
LOC100263739	59	83	45	59
LOC100263752	391	543	458	610
LOC100263801	707	760	523	1042
LOC100263830	349	423	349	440
LOC100263832	10978	12497	7224	11097
LOC100263836	2423	2857	2189	3629
LOC100263840	409	522	178	367
LOC100263841	788	1010	450	626
LOC100263937	825	904	576	845
LOC100263945	1053	1069	461	898
LOC100263956	2365	3047	1933	3063
LOC100263968	825	987	676	1116
LOC100264001	1451	1910	955	1561
LOC100264013	634	767	564	798
LOC100264026	2573	2761	755	1178
LOC100264052	466	489	313	554
LOC100264067	369	477	288	432
LOC100264068	826	905	550	991
LOC100264083	772	906	739	918
LOC100264196	13444	16609	11374	15006
LOC100264212	668	820	546	918
LOC100264247	2300	2983	2009	3470
LOC100264264	4638	5890	5081	6630
LOC100264294	1377	1828	983	1207
LOC100264310	2545	2767	1357	2712
LOC100264317	503	557	329	527
LOC100264326	464	604	352	621
LOC100264328	755	1045	624	855
LOC100264343	45	32	41	58
LOC100264353	286	392	268	265
LOC100264354	351	412	410	625
LOC100264367	91	105	60	102
LOC100264445	175	201	52	133
LOC100264447	288	401	137	219
